nom,prenom,idCopie,groupeTD,groupeTP,Note,01-justification-modele-algo,TICKED:01-justification-modele-algo,02-codage-modele-algo,TICKED:02-codage-modele-algo,03-qualite-nommage-variable,TICKED:03-qualite-nommage-variable,04-precision-typage-variables,TICKED:04-precision-typage-variables,05-respect-conventions-nommage,TICKED:05-respect-conventions-nommage,06-pertinence-commentaires,TICKED:06-pertinence-commentaires,07-choix-structures-controle,TICKED:07-choix-structures-controle,08-indentation,TICKED:08-indentation,groupe.eval[1],TICKED:groupe.eval[1],groupe.eval[2],TICKED:groupe.eval[2],groupe.eval
nomEtudiant_011,prenomEtudiant_011,11-3,1,2,"2,5",1,A,0,F,0,E,0,F,0,F,0,D,0,B,0,G,0,I,0,B,18
nomEtudiant_012,prenomEtudiant_012,12-1,1,1,0,0,G,0,E,0,F,0,F,0,G,0,G,0,F,0,G,0,,0,C,2
nomEtudiant_012,prenomEtudiant_012,12-2,1,1,0,0,F,0,F,0,G,0,G,0,G,0,E,0,F,0,G,0,,0,D,3
nomEtudiant_012,prenomEtudiant_012,12-3,1,1,0,0,F,0,G,0,G,0,G,0,G,0,F,0,F,0,G,0,,0,E,4
nomEtudiant_013,prenomEtudiant_013,13-1,1,2,0,0,G,0,,0,F,0,E,0,G,0,E,0,G,0,G,0,,0,F,5
nomEtudiant_013,prenomEtudiant_013,13-2,1,2,0,0,F,0,F,0,E,0,D,0,G,0,E,0,E,0,F,0,,0,G,6
nomEtudiant_013,prenomEtudiant_013,13-3,1,2,0,0,F,0,G,0,E,0,E,0,G,0,F,0,G,0,G,0,,0,H,7
nomEtudiant_014,prenomEtudiant_014,14-1,1,1,0,0,F,0,G,0,G,0,G,0,G,0,E,0,G,0,G,0,,0,B,1
nomEtudiant_014,prenomEtudiant_014,14-2,1,1,0,0,E,0,D,0,D,0,C,0,F,0,C,0,E,0,E,0,,0,E,4
nomEtudiant_014,prenomEtudiant_014,14-3,1,1,0,0,F,0,E,0,F,0,D,0,D,0,D,0,E,0,D,0,I,0,B,18
nomEtudiant_015,prenomEtudiant_015,15-1,2,3,"2,5",1,A,0,D,0,B,0,B,0,D,0,C,0,D,0,G,0,I,0,B,18
nomEtudiant_015,prenomEtudiant_015,15-2,2,3,"2,5",0,E,0,B,0,E,0,B,0,G,0,C,1,A,0,E,0,,0,E,4
nomEtudiant_015,prenomEtudiant_015,15-3,2,3,0,0,F,0,G,0,E,0,D,0,G,0,D,0,G,0,G,0,,0,B,1
nomEtudiant_016,prenomEtudiant_016,16-1,1,2,0,0,E,0,F,0,D,0,F,0,F,0,E,0,G,0,F,0,,0,G,6
nomEtudiant_016,prenomEtudiant_016,16-2,1,2,0,0,G,0,G,0,G,0,F,0,G,0,G,0,G,0,G,0,,0,H,7
nomEtudiant_016,prenomEtudiant_016,16-3,1,2,0,0,F,0,F,0,E,0,E,0,F,0,D,0,F,0,D,0,,0,I,8
nomEtudiant_017,prenomEtudiant_017,17-1,2,4,0,0,B,0,F,0,F,0,F,0,C,0,C,0,F,0,F,0,F,0,B,15
nomEtudiant_017,prenomEtudiant_017,17-2,2,4,0,0,C,0,F,0,F,0,C,0,F,0,E,0,F,0,F,0,C,0,B,12
nomEtudiant_017,prenomEtudiant_017,17-3,2,4,0,0,F,0,E,0,F,0,F,0,F,0,F,0,E,0,F,0,D,0,B,13
nomEtudiant_018,prenomEtudiant_018,18-1,2,3,0,0,E,0,E,0,D,0,E,0,G,0,D,0,F,0,G,0,A,0,B,10
nomEtudiant_018,prenomEtudiant_018,18-2,2,3,0,0,D,0,E,0,D,0,E,0,D,0,D,0,C,0,E,0,B,0,B,11
nomEtudiant_019,prenomEtudiant_019,19-1,2,4,0,0,F,0,G,0,G,0,F,0,G,0,,0,D,0,E,0,E,0,B,14
nomEtudiant_019,prenomEtudiant_019,19-2,2,4,0,0,D,0,D,0,G,0,F,0,G,0,E,0,E,0,G,0,F,0,B,15
nomEtudiant_019,prenomEtudiant_019,19-3,2,4,0,0,G,0,E,0,G,0,G,0,G,0,E,0,E,0,G,0,D,0,B,13
nomEtudiant_020,prenomEtudiant_020,20-1,1,1,0,0,E,0,D,0,F,0,G,0,F,0,G,0,E,0,G,0,,0,B,1
nomEtudiant_020,prenomEtudiant_020,20-2,1,1,0,0,D,0,E,0,G,0,G,0,F,0,E,0,F,0,G,0,,0,D,3
nomEtudiant_020,prenomEtudiant_020,20-3,1,1,0,0,F,0,D,0,F,0,D,0,F,0,F,0,D,0,G,0,,0,E,4
nomEtudiant_021,prenomEtudiant_021,21-1,1,2,0,0,F,0,G,0,G,0,G,0,F,0,G,0,E,0,G,0,,0,F,5
nomEtudiant_021,prenomEtudiant_021,21-2,1,2,0,0,G,0,G,0,G,0,F,0,G,0,G,0,G,0,G,0,,0,H,7
nomEtudiant_021,prenomEtudiant_021,21-3,1,2,0,0,F,0,F,0,G,0,F,0,F,0,C,0,G,0,C,0,,0,G,6
nomEtudiant_022,prenomEtudiant_022,22-1,3,5,0,0,E,0,E,0,D,0,E,0,F,0,D,0,E,0,G,0,I,0,B,18
nomEtudiant_022,prenomEtudiant_022,22-2,3,5,0,0,E,0,D,0,D,0,C,0,F,0,C,0,F,0,G,0,G,0,B,16
nomEtudiant_022,prenomEtudiant_022,22-3,3,5,0,0,E,0,B,0,D,0,C,0,G,0,D,0,C,0,G,0,H,0,B,17
nomEtudiant_023,prenomEtudiant_023,23-1,2,4,0,0,C,0,E,0,F,0,F,0,F,0,E,0,E,0,F,0,E,0,B,14
nomEtudiant_023,prenomEtudiant_023,23-2,2,4,0,0,B,0,E,0,F,0,G,0,G,0,D,0,F,0,G,0,F,0,B,15
nomEtudiant_023,prenomEtudiant_023,23-3,2,4,0,0,D,0,E,0,E,0,E,0,G,0,E,0,F,0,G,0,C,0,B,12
nomEtudiant_024,prenomEtudiant_024,24-1,1,2,0,0,G,0,F,0,F,0,G,0,F,0,F,0,G,0,F,0,,0,F,5
nomEtudiant_024,prenomEtudiant_024,24-2,1,2,0,0,F,0,,0,,0,,0,G,0,D,0,G,0,,0,,0,G,6
nomEtudiant_024,prenomEtudiant_024,24-3,1,2,0,0,F,0,B,0,F,0,E,0,F,0,F,0,G,0,G,0,,0,I,8
nomEtudiant_025,prenomEtudiant_025,25-1,1,1,0,0,E,0,E,0,D,0,F,0,D,0,D,0,E,0,F,0,,0,B,1
nomEtudiant_025,prenomEtudiant_025,25-2,1,1,0,0,G,0,F,0,G,0,F,0,G,0,F,0,F,0,F,0,,0,C,2
nomEtudiant_025,prenomEtudiant_025,25-3,1,1,0,0,G,0,F,0,G,0,F,0,G,0,D,0,F,0,F,0,,0,D,3
nomEtudiant_026,prenomEtudiant_026,26-1,1,2,0,0,G,0,F,0,F,0,G,0,F,0,F,0,G,0,F,0,,0,F,5
nomEtudiant_026,prenomEtudiant_026,26-2,1,2,0,0,D,0,F,0,F,0,F,0,G,0,D,0,G,0,B,0,,0,G,6
nomEtudiant_026,prenomEtudiant_026,26-3,1,2,0,0,E,0,C,0,G,0,F,0,G,0,G,0,G,0,G,0,,0,I,8
nomEtudiant_027,prenomEtudiant_027,27-1,1,1,0,0,G,0,F,0,F,0,G,0,G,0,F,0,F,0,E,0,,0,B,1
nomEtudiant_027,prenomEtudiant_027,27-2,1,1,0,0,E,0,E,0,G,0,F,0,G,0,E,0,F,0,F,0,,0,D,3
nomEtudiant_027,prenomEtudiant_027,27-3,1,1,0,0,G,0,F,0,G,0,F,0,F,0,D,0,E,0,F,0,,0,E,4
nomEtudiant_028,prenomEtudiant_028,28-1,1,2,0,0,E,0,F,0,G,0,F,0,F,0,F,0,G,0,F,0,,0,G,6
nomEtudiant_028,prenomEtudiant_028,28-2,1,2,0,0,G,0,G,0,G,0,F,0,G,0,F,0,G,0,G,0,,0,H,7
nomEtudiant_028,prenomEtudiant_028,28-3,1,2,0,0,E,0,F,0,F,0,F,0,G,0,F,0,G,0,G,0,,0,I,8
nomEtudiant_029,prenomEtudiant_029,29-1,1,1,0,0,G,0,F,0,F,0,G,0,G,0,G,0,F,0,G,0,,0,C,2
nomEtudiant_029,prenomEtudiant_029,29-2,1,1,0,0,F,0,G,0,G,0,G,0,G,0,E,0,G,0,G,0,,0,D,3
nomEtudiant_029,prenomEtudiant_029,29-3,1,1,0,0,F,0,G,0,G,0,G,0,G,0,G,0,F,0,G,0,,0,E,4
nomEtudiant_030,prenomEtudiant_030,30-1,1,2,0,0,G,0,F,0,F,0,G,0,F,0,G,0,F,0,G,0,,0,F,5
nomEtudiant_030,prenomEtudiant_030,30-2,1,2,0,0,G,0,G,0,G,0,G,0,G,0,G,0,G,0,G,0,,0,H,7
nomEtudiant_030,prenomEtudiant_030,30-3,1,2,0,0,F,0,E,0,G,0,F,0,G,0,G,0,G,0,G,0,,0,I,8
nomEtudiant_031,prenomEtudiant_031,31-1,1,1,0,0,F,0,G,0,G,0,G,0,G,0,G,0,G,0,G,0,,0,B,1
nomEtudiant_031,prenomEtudiant_031,31-2,1,1,0,0,G,0,F,0,E,0,G,0,G,0,F,0,G,0,G,0,,0,C,2
nomEtudiant_031,prenomEtudiant_031,31-3,1,1,0,0,F,0,,0,G,0,F,0,G,0,F,0,G,0,G,0,,0,E,4
nomEtudiant_032,prenomEtudiant_032,32-1,1,1,0,0,F,0,F,0,G,0,F,0,G,0,E,0,F,0,G,0,,0,B,1
nomEtudiant_032,prenomEtudiant_032,32-2,1,1,0,0,D,0,E,0,G,0,G,0,G,0,F,0,F,0,F,0,,0,D,3
nomEtudiant_032,prenomEtudiant_032,32-3,1,1,0,0,G,0,F,0,G,0,F,0,F,0,D,0,E,0,F,0,,0,E,4
nomEtudiant_033,prenomEtudiant_033,33-1,1,1,0,0,E,0,E,0,F,0,E,0,G,0,E,0,F,0,G,0,,0,C,2
nomEtudiant_033,prenomEtudiant_033,33-2,1,1,0,0,E,0,E,0,G,0,F,0,G,0,E,0,E,0,F,0,,0,E,4
nomEtudiant_033,prenomEtudiant_033,33-3,1,1,0,0,D,0,F,0,E,0,F,0,E,0,F,0,E,0,F,0,,0,D,3
nomEtudiant_034,prenomEtudiant_034,34-1,2,4,0,0,G,0,F,0,F,0,F,0,G,0,E,0,F,0,G,0,E,0,B,14
nomEtudiant_034,prenomEtudiant_034,34-2,2,4,0,0,B,0,E,0,F,0,F,0,F,0,D,0,F,0,G,0,F,0,B,15
nomEtudiant_034,prenomEtudiant_034,34-3,2,4,0,0,E,0,E,0,G,0,G,0,G,0,D,0,E,0,G,0,D,0,B,13
nomEtudiant_035,prenomEtudiant_035,35-1,2,4,0,0,F,0,F,0,G,0,F,0,G,0,F,0,F,0,G,0,E,0,B,14
nomEtudiant_035,prenomEtudiant_035,35-2,2,4,0,0,G,0,F,0,F,0,E,0,G,0,E,0,E,0,G,0,C,0,B,12
nomEtudiant_035,prenomEtudiant_035,35-3,2,4,0,0,G,0,D,0,F,0,F,0,G,0,F,0,E,0,G,0,D,0,B,13
nomEtudiant_036,prenomEtudiant_036,37-1,3,5,0,0,G,0,F,0,F,0,G,0,F,0,D,0,G,0,G,0,I,0,B,18
nomEtudiant_036,prenomEtudiant_036,37-2,3,5,0,0,G,0,F,0,E,0,E,0,F,0,D,0,G,0,G,0,G,0,B,16
nomEtudiant_036,prenomEtudiant_036,37-3,3,5,0,0,G,0,F,0,E,0,G,0,G,0,E,0,G,0,F,0,J,0,B,19
nomEtudiant_037,prenomEtudiant_037,38-1,2,4,0,0,F,0,E,0,E,0,E,0,E,0,D,0,D,0,F,0,E,0,B,14
nomEtudiant_037,prenomEtudiant_037,38-2,2,4,"2,5",1,A,0,D,0,E,0,D,0,E,0,E,0,E,0,F,0,C,0,B,12
nomEtudiant_037,prenomEtudiant_037,38-3,2,4,0,0,F,0,F,0,E,0,F,0,E,0,F,0,F,0,F,0,D,0,B,13
nomEtudiant_038,prenomEtudiant_038,39-1,3,5,0,0,G,0,G,0,D,0,F,0,E,0,F,0,F,0,G,0,I,0,B,18
nomEtudiant_038,prenomEtudiant_038,39-2,3,5,0,0,D,0,D,0,C,0,C,0,E,0,B,0,E,0,F,0,H,0,B,17
nomEtudiant_038,prenomEtudiant_038,39-3,3,5,0,0,F,0,F,0,G,0,F,0,G,0,F,0,F,0,F,0,J,0,B,19
nomEtudiant_039,prenomEtudiant_039,40-1,2,4,0,0,D,0,E,0,D,0,E,0,G,0,C,0,F,0,G,0,F,0,B,15
nomEtudiant_039,prenomEtudiant_039,40-2,2,4,0,0,B,0,C,0,F,0,D,0,G,0,F,0,G,0,G,0,C,0,B,12
nomEtudiant_039,prenomEtudiant_039,40-3,2,4,0,0,G,0,F,0,E,0,F,0,G,0,F,0,E,0,G,0,D,0,B,13
nomEtudiant_040,prenomEtudiant_040,41-1,1,2,0,0,G,0,G,0,F,0,E,0,F,0,E,0,D,0,G,0,,0,F,5
nomEtudiant_040,prenomEtudiant_040,41-2,1,2,0,0,F,0,D,0,C,0,D,0,E,0,D,0,C,0,D,0,,0,G,6
nomEtudiant_040,prenomEtudiant_040,41-3,1,2,0,0,E,0,F,0,G,0,F,0,G,0,F,0,G,0,G,0,,0,H,7
nomEtudiant_041,prenomEtudiant_041,42-1,2,4,0,0,D,0,E,0,F,0,G,0,F,0,E,0,F,0,G,0,E,0,B,14
nomEtudiant_041,prenomEtudiant_041,42-2,2,4,0,0,E,0,F,0,F,0,E,0,G,0,F,0,F,0,G,0,C,0,B,12
nomEtudiant_041,prenomEtudiant_041,42-3,2,4,0,0,F,0,F,0,G,0,G,0,G,0,F,0,E,0,G,0,D,0,B,13
nomEtudiant_042,prenomEtudiant_042,43-1,1,2,0,0,E,0,F,0,F,0,E,0,F,0,E,0,E,0,F,0,,0,F,5
nomEtudiant_042,prenomEtudiant_042,43-2,1,2,0,0,F,0,F,0,E,0,F,0,D,0,E,0,F,0,E,0,,0,G,6
nomEtudiant_042,prenomEtudiant_042,43-3,1,2,0,0,E,0,E,0,F,0,E,0,F,0,F,0,F,0,G,0,,0,I,8
nomEtudiant_043,prenomEtudiant_043,44-1,1,1,0,0,E,0,G,0,G,0,F,0,G,0,F,0,F,0,G,0,,0,C,2
nomEtudiant_043,prenomEtudiant_043,44-2,1,1,0,0,G,0,F,0,F,0,F,0,G,0,E,0,F,0,G,0,,0,D,3
nomEtudiant_043,prenomEtudiant_043,44-3,1,1,0,0,F,0,F,0,G,0,G,0,F,0,E,0,F,0,G,0,,0,E,4
nomEtudiant_044,prenomEtudiant_044,45-1,3,5,0,0,G,0,G,0,G,0,E,0,G,0,F,0,F,0,G,0,I,0,B,18
nomEtudiant_044,prenomEtudiant_044,45-2,3,5,0,0,E,0,F,0,F,0,F,0,G,0,F,0,F,0,G,0,G,0,B,16
nomEtudiant_044,prenomEtudiant_044,45-3,3,5,0,0,E,0,F,0,E,0,D,0,F,0,B,0,F,0,F,0,H,0,B,17
nomEtudiant_045,prenomEtudiant_045,46-1,2,4,ABS,,,,,,,,,,,,,,,,,,,,,
nomEtudiant_045,prenomEtudiant_045,46-2,2,4,ABS,,,,,,,,,,,,,,,,,,,,,
nomEtudiant_045,prenomEtudiant_045,46-3,2,4,ABS,,,,,,,,,,,,,,,,,,,,,
nomEtudiant_046,prenomEtudiant_046,47-1,2,3,0,0,D,0,F,0,F,0,E,0,E,0,F,0,E,0,D,0,,0,J,9
nomEtudiant_046,prenomEtudiant_046,47-2,2,3,0,0,F,0,D,0,E,0,E,0,E,0,D,0,F,0,F,0,A,0,B,10
nomEtudiant_047,prenomEtudiant_047,48-1,2,3,0,0,E,0,F,0,E,0,F,0,G,0,D,0,G,0,G,0,,0,J,9
nomEtudiant_047,prenomEtudiant_047,48-2,2,3,0,0,D,0,E,0,E,0,E,0,G,0,F,0,D,0,G,0,B,0,B,11
nomEtudiant_048,prenomEtudiant_048,49-1,2,4,0,0,D,0,F,0,E,0,G,0,G,0,F,0,G,0,G,0,E,0,B,14
nomEtudiant_048,prenomEtudiant_048,49-2,2,4,0,0,B,0,E,0,G,0,E,0,G,0,C,0,E,0,G,0,F,0,B,15
nomEtudiant_048,prenomEtudiant_048,49-3,2,4,0,0,C,0,D,0,D,0,B,0,G,0,C,0,D,0,G,0,C,0,B,12
nomEtudiant_049,prenomEtudiant_049,50-1,2,3,0,0,E,0,F,0,F,0,F,0,G,0,G,0,E,0,G,0,,0,J,9
nomEtudiant_049,prenomEtudiant_049,50-2,2,3,0,0,G,0,E,0,F,0,F,0,F,0,G,0,F,0,G,0,B,0,B,11
nomEtudiant_050,prenomEtudiant_050,51-1,2,3,0,0,E,0,F,0,E,0,F,0,G,0,F,0,F,0,G,0,,0,J,9
nomEtudiant_050,prenomEtudiant_050,51-2,2,3,0,0,D,0,D,0,E,0,E,0,F,0,D,0,E,0,E,0,A,0,B,10
nomEtudiant_051,prenomEtudiant_051,52-1,2,4,0,0,D,0,E,0,F,0,CF,0,F,0,C,0,F,0,G,0,F,0,B,15
nomEtudiant_051,prenomEtudiant_051,52-2,2,4,0,0,C,0,C,0,E,0,D,0,G,0,F,0,E,0,F,0,C,0,B,12
nomEtudiant_051,prenomEtudiant_051,52-3,2,4,0,0,F,0,F,0,G,0,G,0,G,0,F,0,E,0,G,0,D,0,B,13
nomEtudiant_052,prenomEtudiant_052,53-1,3,5,0,0,D,0,G,0,F,0,F,0,D,0,E,0,G,0,G,0,I,0,B,18
nomEtudiant_052,prenomEtudiant_052,53-2,3,5,0,0,C,0,F,0,F,0,C,0,E,0,D,0,G,0,E,0,H,0,B,17
nomEtudiant_052,prenomEtudiant_052,53-3,3,5,0,0,G,0,G,0,F,0,G,0,G,0,E,0,G,0,C,0,J,0,B,19
nomEtudiant_053,prenomEtudiant_053,54-1,3,5,0,0,F,0,F,0,B,0,C,0,B,0,F,0,F,0,G,0,I,0,B,18
nomEtudiant_053,prenomEtudiant_053,54-2,3,5,0,0,D,0,D,0,E,0,C,0,F,0,E,0,E,0,G,0,H,0,B,17
nomEtudiant_053,prenomEtudiant_053,54-3,3,5,0,0,G,0,F,0,F,0,,0,G,0,E,0,G,0,F,0,J,0,B,19
nomEtudiant_054,prenomEtudiant_054,55-1,3,5,0,0,F,0,D,0,E,0,B,0,D,0,E,0,G,0,F,0,G,0,B,16
nomEtudiant_054,prenomEtudiant_054,55-2,3,5,0,0,G,0,F,0,G,0,E,0,F,0,F,0,G,0,F,0,J,0,B,19
nomEtudiant_054,prenomEtudiant_054,55-3,3,5,0,0,C,0,D,0,E,0,D,0,D,0,C,0,C,0,F,0,H,0,B,17
nomEtudiant_055,prenomEtudiant_055,56-1,3,5,0,0,F,0,G,0,E,0,D,0,F,0,D,0,E,0,G,0,I,0,B,18
nomEtudiant_055,prenomEtudiant_055,56-2,3,5,0,0,F,0,F,0,E,0,D,0,F,0,E,0,E,0,F,0,G,0,B,16
nomEtudiant_055,prenomEtudiant_055,56-3,3,5,0,0,E,0,F,0,D,0,D,0,F,0,C,0,D,0,F,0,H,0,B,17
nomEtudiant_056,prenomEtudiant_056,57-1,2,3,0,0,D,0,E,0,D,0,E,0,F,0,C,0,E,0,E,0,A,0,B,10
nomEtudiant_056,prenomEtudiant_056,57-2,2,3,0,0,E,0,E,0,D,0,E,0,E,0,E,0,E,0,F,0,B,0,B,11
nomEtudiant_057,prenomEtudiant_057,58-1,3,5,0,0,F,0,G,0,G,0,F,0,G,0,E,0,E,0,G,0,I,0,B,18
nomEtudiant_057,prenomEtudiant_057,58-2,3,5,0,0,D,0,E,0,F,0,E,0,G,0,F,0,D,0,G,0,H,0,B,17
nomEtudiant_057,prenomEtudiant_057,58-3,3,5,0,0,F,0,G,0,G,0,F,0,F,0,E,0,G,0,E,0,J,0,B,19
nomEtudiant_058,prenomEtudiant_058,59-1,2,3,0,0,F,0,G,0,F,0,E,0,G,0,E,0,F,0,F,0,,0,J,9
nomEtudiant_058,prenomEtudiant_058,59-2,2,3,0,0,E,0,E,0,F,0,F,0,F,0,F,0,D,0,E,0,B,0,B,11
nomEtudiant_059,prenomEtudiant_059,60-1,3,5,0,0,D,0,E,0,F,0,F,0,E,0,E,0,D,0,C,0,I,0,B,18
nomEtudiant_059,prenomEtudiant_059,60-2,3,5,0,0,B,0,E,0,G,0,E,0,F,0,C,0,G,0,E,0,J,0,B,19
nomEtudiant_059,prenomEtudiant_059,60-3,3,5,0,0,E,0,D,0,F,0,C,0,F,0,D,0,F,0,F,0,G,0,B,16
nomEtudiant_060,prenomEtudiant_060,61-1,2,4,0,0,F,0,E,0,F,0,F,0,F,0,D,0,D,0,G,0,E,0,B,14
nomEtudiant_060,prenomEtudiant_060,61-2,2,4,0,0,F,0,F,0,G,0,F,0,G,0,D,0,D,0,G,0,F,0,B,15
nomEtudiant_060,prenomEtudiant_060,61-3,2,4,0,0,F,0,F,0,G,0,F,0,G,0,F,0,E,0,G,0,D,0,B,13
nomEtudiant_061,prenomEtudiant_061,62-1,3,5,0,0,E,0,E,0,D,0,D,0,D,0,C,0,D,0,C,0,I,0,B,18
nomEtudiant_061,prenomEtudiant_061,62-2,3,5,0,0,D,0,C,0,E,0,D,0,D,0,E,0,E,0,D,0,G,0,B,16
nomEtudiant_061,prenomEtudiant_061,62-3,3,5,0,0,F,0,F,0,E,0,F,0,E,0,F,0,E,0,E,0,J,0,B,19
nomEtudiant_062,prenomEtudiant_062,63-1,3,5,0,0,E,0,E,0,E,0,F,0,E,0,E,0,D,0,D,0,J,0,B,19
nomEtudiant_062,prenomEtudiant_062,63-2,3,5,0,0,F,0,F,0,E,0,D,0,D,0,C,0,E,0,D,0,G,0,B,16
nomEtudiant_062,prenomEtudiant_062,63-3,3,5,0,0,E,0,D,0,E,0,E,0,F,0,E,0,D,0,F,0,H,0,B,17
nomEtudiant_063,prenomEtudiant_063,64-1,3,5,0,0,F,0,F,0,E,0,F,0,G,0,D,0,G,0,G,0,I,0,B,18
nomEtudiant_063,prenomEtudiant_063,64-2,3,5,0,0,F,0,G,0,F,0,D,0,G,0,E,0,F,0,G,0,G,0,B,16
nomEtudiant_063,prenomEtudiant_063,64-3,3,5,0,0,E,0,,0,D,0,D,0,G,0,D,0,F,0,G,0,H,0,B,17
nomEtudiant_064,prenomEtudiant_064,65-1,2,3,0,0,F,0,F,0,E,0,F,0,G,0,D,0,F,0,G,0,A,0,B,10
nomEtudiant_064,prenomEtudiant_064,65-2,2,3,0,0,D,0,E,0,E,0,E,0,G,0,E,0,C,0,F,0,B,0,B,11
nomEtudiant_065,prenomEtudiant_065,66-1,3,5,0,0,G,0,E,0,E,0,E,0,D,0,D,0,E,0,D,0,I,0,B,18
