nom,prenom,Statut,idCopie,groupeTD,groupeTP,groupeEval,01-justification-modele-algo,02-codage-modele-algo,03-qualite-nommage-variable,04-precision-typage-variables,05-respect-conventions-nommage,06-pertinence-commentaires,07-choix-structures-controle,08-indentation
nomEtudiant_010,prenomEtudiant_010,PRES,10-2,2,4,15,3,3,3,4,4,3,4,5
nomEtudiant_010,prenomEtudiant_010,PRES,10-3,2,4,13,3,3,4,4,4,3,2,5
nomEtudiant_011,prenomEtudiant_011,PRES,11-1,1,2,1,3,6,5,5,6,5,6,6
nomEtudiant_011,prenomEtudiant_011,PRES,11-2,1,2,4,1,2,5,3,6,1,4,5
nomEtudiant_011,prenomEtudiant_011,PRES,11-3,1,2,18,0,5,4,5,5,3,1,6
nomEtudiant_012,prenomEtudiant_012,PRES,12-1,1,1,2,6,4,5,5,6,6,5,6
nomEtudiant_012,prenomEtudiant_012,PRES,12-2,1,1,3,5,5,6,6,6,4,5,6
nomEtudiant_012,prenomEtudiant_012,PRES,12-3,1,1,4,5,6,6,6,6,5,5,6
nomEtudiant_013,prenomEtudiant_013,PRES,13-1,1,2,5,6,NR,5,4,6,4,6,6
nomEtudiant_013,prenomEtudiant_013,PRES,13-2,1,2,6,5,5,4,3,6,4,4,5
nomEtudiant_013,prenomEtudiant_013,PRES,13-3,1,2,7,5,6,4,4,6,5,6,6
nomEtudiant_014,prenomEtudiant_014,PRES,14-1,1,1,1,5,6,6,6,6,4,6,6
nomEtudiant_014,prenomEtudiant_014,PRES,14-2,1,1,4,4,3,3,2,5,2,4,4
nomEtudiant_014,prenomEtudiant_014,PRES,14-3,1,1,18,5,4,5,3,3,3,4,3
nomEtudiant_015,prenomEtudiant_015,PRES,15-1,2,3,18,0,3,1,1,3,2,3,6
nomEtudiant_015,prenomEtudiant_015,PRES,15-2,2,3,4,4,1,4,1,6,2,0,4
nomEtudiant_015,prenomEtudiant_015,PRES,15-3,2,3,1,5,6,4,3,6,3,6,6
nomEtudiant_016,prenomEtudiant_016,PRES,16-1,1,2,6,4,5,3,5,5,4,6,5
nomEtudiant_016,prenomEtudiant_016,PRES,16-2,1,2,7,6,6,6,5,6,6,6,6
nomEtudiant_016,prenomEtudiant_016,PRES,16-3,1,2,8,5,5,4,4,5,3,5,3
nomEtudiant_017,prenomEtudiant_017,PRES,17-1,2,4,15,1,5,5,5,2,2,5,5
nomEtudiant_017,prenomEtudiant_017,PRES,17-2,2,4,12,2,5,5,2,5,4,5,5
nomEtudiant_017,prenomEtudiant_017,PRES,17-3,2,4,13,5,4,5,5,5,5,4,5
nomEtudiant_018,prenomEtudiant_018,PRES,18-1,2,3,10,4,4,3,4,6,3,5,6
nomEtudiant_018,prenomEtudiant_018,PRES,18-2,2,3,11,3,4,3,4,3,3,2,4
nomEtudiant_019,prenomEtudiant_019,PRES,19-1,2,4,14,5,6,6,5,6,NR,3,4
nomEtudiant_019,prenomEtudiant_019,PRES,19-2,2,4,15,3,3,6,5,6,4,4,6
nomEtudiant_019,prenomEtudiant_019,PRES,19-3,2,4,13,6,4,6,6,6,4,4,6
nomEtudiant_020,prenomEtudiant_020,PRES,20-1,1,1,1,4,3,5,6,5,6,4,6
nomEtudiant_020,prenomEtudiant_020,PRES,20-2,1,1,3,3,4,6,6,5,4,5,6
nomEtudiant_020,prenomEtudiant_020,PRES,20-3,1,1,4,5,3,5,3,5,5,3,6
nomEtudiant_021,prenomEtudiant_021,PRES,21-1,1,2,5,5,6,6,6,5,6,4,6
nomEtudiant_021,prenomEtudiant_021,PRES,21-2,1,2,7,6,6,6,5,6,6,6,6
nomEtudiant_021,prenomEtudiant_021,PRES,21-3,1,2,6,5,5,6,5,5,2,6,2
nomEtudiant_022,prenomEtudiant_022,PRES,22-1,3,5,18,4,4,3,4,5,3,4,6
nomEtudiant_022,prenomEtudiant_022,PRES,22-2,3,5,16,4,3,3,2,5,2,5,6
nomEtudiant_022,prenomEtudiant_022,PRES,22-3,3,5,17,4,1,3,2,6,3,2,6
nomEtudiant_023,prenomEtudiant_023,PRES,23-1,2,4,14,2,4,5,5,5,4,4,5
nomEtudiant_023,prenomEtudiant_023,PRES,23-2,2,4,15,1,4,5,6,6,3,5,6
nomEtudiant_023,prenomEtudiant_023,PRES,23-3,2,4,12,3,4,4,4,6,4,5,6
nomEtudiant_024,prenomEtudiant_024,PRES,24-1,1,2,5,6,5,5,6,5,5,6,5
nomEtudiant_024,prenomEtudiant_024,PRES,24-2,1,2,6,5,NR,NR,NR,6,3,6,NR
nomEtudiant_024,prenomEtudiant_024,PRES,24-3,1,2,8,5,1,5,4,5,5,6,6
nomEtudiant_025,prenomEtudiant_025,PRES,25-1,1,1,1,4,4,3,5,3,3,4,5
nomEtudiant_025,prenomEtudiant_025,PRES,25-2,1,1,2,6,5,6,5,6,5,5,5
nomEtudiant_025,prenomEtudiant_025,PRES,25-3,1,1,3,6,5,6,5,6,3,5,5
nomEtudiant_026,prenomEtudiant_026,PRES,26-1,1,2,5,6,5,5,6,5,5,6,5
nomEtudiant_026,prenomEtudiant_026,PRES,26-2,1,2,6,3,5,5,5,6,3,6,1
nomEtudiant_026,prenomEtudiant_026,PRES,26-3,1,2,8,4,2,6,5,6,6,6,6
nomEtudiant_027,prenomEtudiant_027,PRES,27-1,1,1,1,6,5,5,6,6,5,5,4
nomEtudiant_027,prenomEtudiant_027,PRES,27-2,1,1,3,4,4,6,5,6,4,5,5
nomEtudiant_027,prenomEtudiant_027,PRES,27-3,1,1,4,6,5,6,5,5,3,4,5
nomEtudiant_028,prenomEtudiant_028,PRES,28-1,1,2,6,4,5,6,5,5,5,6,5
nomEtudiant_028,prenomEtudiant_028,PRES,28-2,1,2,7,6,6,6,5,6,5,6,6
nomEtudiant_028,prenomEtudiant_028,PRES,28-3,1,2,8,4,5,5,5,6,5,6,6
nomEtudiant_029,prenomEtudiant_029,PRES,29-1,1,1,2,6,5,5,6,6,6,5,6
nomEtudiant_029,prenomEtudiant_029,PRES,29-2,1,1,3,5,6,6,6,6,4,6,6
nomEtudiant_029,prenomEtudiant_029,PRES,29-3,1,1,4,5,6,6,6,6,6,5,6
nomEtudiant_030,prenomEtudiant_030,PRES,30-1,1,2,5,6,5,5,6,5,6,5,6
nomEtudiant_030,prenomEtudiant_030,PRES,30-2,1,2,7,6,6,6,6,6,6,6,6
nomEtudiant_030,prenomEtudiant_030,PRES,30-3,1,2,8,5,4,6,5,6,6,6,6
nomEtudiant_031,prenomEtudiant_031,PRES,31-1,1,1,1,5,6,6,6,6,6,6,6
nomEtudiant_031,prenomEtudiant_031,PRES,31-2,1,1,2,6,5,4,6,6,5,6,6
nomEtudiant_031,prenomEtudiant_031,PRES,31-3,1,1,4,5,NR,6,5,6,5,6,6
nomEtudiant_032,prenomEtudiant_032,PRES,32-1,1,1,1,5,5,6,5,6,4,5,6
nomEtudiant_032,prenomEtudiant_032,PRES,32-2,1,1,3,3,4,6,6,6,5,5,5
nomEtudiant_032,prenomEtudiant_032,PRES,32-3,1,1,4,6,5,6,5,5,3,4,5
nomEtudiant_033,prenomEtudiant_033,PRES,33-1,1,1,2,4,4,5,4,6,4,5,6
nomEtudiant_033,prenomEtudiant_033,PRES,33-2,1,1,4,4,4,6,5,6,4,4,5
nomEtudiant_033,prenomEtudiant_033,PRES,33-3,1,1,3,3,5,4,5,4,5,4,5
nomEtudiant_034,prenomEtudiant_034,PRES,34-1,2,4,14,6,5,5,5,6,4,5,6
nomEtudiant_034,prenomEtudiant_034,PRES,34-2,2,4,15,1,4,5,5,5,3,5,6
nomEtudiant_034,prenomEtudiant_034,PRES,34-3,2,4,13,4,4,6,6,6,3,4,6
nomEtudiant_035,prenomEtudiant_035,PRES,35-1,2,4,14,5,5,6,5,6,5,5,6
nomEtudiant_035,prenomEtudiant_035,PRES,35-2,2,4,12,6,5,5,4,6,4,4,6
nomEtudiant_035,prenomEtudiant_035,PRES,35-3,2,4,13,6,3,5,5,6,5,4,6
nomEtudiant_036,prenomEtudiant_036,PRES,37-1,3,5,18,6,5,5,6,5,3,6,6
nomEtudiant_036,prenomEtudiant_036,PRES,37-2,3,5,16,6,5,4,4,5,3,6,6
nomEtudiant_036,prenomEtudiant_036,PRES,37-3,3,5,19,6,5,4,6,6,4,6,5
nomEtudiant_037,prenomEtudiant_037,PRES,38-1,2,4,14,5,4,4,4,4,3,3,5
nomEtudiant_037,prenomEtudiant_037,PRES,38-2,2,4,12,0,3,4,3,4,4,4,5
nomEtudiant_037,prenomEtudiant_037,PRES,38-3,2,4,13,5,5,4,5,4,5,5,5
nomEtudiant_038,prenomEtudiant_038,PRES,39-1,3,5,18,6,6,3,5,4,5,5,6
nomEtudiant_038,prenomEtudiant_038,PRES,39-2,3,5,17,3,3,2,2,4,1,4,5
nomEtudiant_038,prenomEtudiant_038,PRES,39-3,3,5,19,5,5,6,5,6,5,5,5
nomEtudiant_039,prenomEtudiant_039,PRES,40-1,2,4,15,3,4,3,4,6,2,5,6
nomEtudiant_039,prenomEtudiant_039,PRES,40-2,2,4,12,1,2,5,3,6,5,6,6
nomEtudiant_039,prenomEtudiant_039,PRES,40-3,2,4,13,6,5,4,5,6,5,4,6
nomEtudiant_040,prenomEtudiant_040,PRES,41-1,1,2,5,6,6,5,4,5,4,3,6
nomEtudiant_040,prenomEtudiant_040,PRES,41-2,1,2,6,5,3,2,3,4,3,2,3
nomEtudiant_040,prenomEtudiant_040,PRES,41-3,1,2,7,4,5,6,5,6,5,6,6
nomEtudiant_041,prenomEtudiant_041,PRES,42-1,2,4,14,3,4,5,6,5,4,5,6
nomEtudiant_041,prenomEtudiant_041,PRES,42-2,2,4,12,4,5,5,4,6,5,5,6
nomEtudiant_041,prenomEtudiant_041,PRES,42-3,2,4,13,5,5,6,6,6,5,4,6
nomEtudiant_042,prenomEtudiant_042,PRES,43-1,1,2,5,4,5,5,4,5,4,4,5
nomEtudiant_042,prenomEtudiant_042,PRES,43-2,1,2,6,5,5,4,5,3,4,5,4
nomEtudiant_042,prenomEtudiant_042,PRES,43-3,1,2,8,4,4,5,4,5,5,5,6
nomEtudiant_043,prenomEtudiant_043,PRES,44-1,1,1,2,4,6,6,5,6,5,5,6
nomEtudiant_043,prenomEtudiant_043,PRES,44-2,1,1,3,6,5,5,5,6,4,5,6
nomEtudiant_043,prenomEtudiant_043,PRES,44-3,1,1,4,5,5,6,6,5,4,5,6
nomEtudiant_044,prenomEtudiant_044,PRES,45-1,3,5,18,6,6,6,4,6,5,5,6
nomEtudiant_044,prenomEtudiant_044,PRES,45-2,3,5,16,4,5,5,5,6,5,5,6
nomEtudiant_044,prenomEtudiant_044,PRES,45-3,3,5,17,4,5,4,3,5,1,5,5
nomEtudiant_045,prenomEtudiant_045,ABS,46-1,2,4,NR,NR,NR,NR,NR,NR,NR,NR,NR
nomEtudiant_045,prenomEtudiant_045,ABS,46-2,2,4,NR,NR,NR,NR,NR,NR,NR,NR,NR
nomEtudiant_045,prenomEtudiant_045,ABS,46-3,2,4,NR,NR,NR,NR,NR,NR,NR,NR,NR
nomEtudiant_046,prenomEtudiant_046,PRES,47-1,2,3,9,3,5,5,4,4,5,4,3
nomEtudiant_046,prenomEtudiant_046,PRES,47-2,2,3,10,5,3,4,4,4,3,5,5
nomEtudiant_047,prenomEtudiant_047,PRES,48-1,2,3,9,4,5,4,5,6,3,6,6
nomEtudiant_047,prenomEtudiant_047,PRES,48-2,2,3,11,3,4,4,4,6,5,3,6
nomEtudiant_048,prenomEtudiant_048,PRES,49-1,2,4,14,3,5,4,6,6,5,6,6
nomEtudiant_048,prenomEtudiant_048,PRES,49-2,2,4,15,1,4,6,4,6,2,4,6
nomEtudiant_048,prenomEtudiant_048,PRES,49-3,2,4,12,2,3,3,1,6,2,3,6
nomEtudiant_049,prenomEtudiant_049,PRES,50-1,2,3,9,4,5,5,5,6,6,4,6
nomEtudiant_049,prenomEtudiant_049,PRES,50-2,2,3,11,6,4,5,5,5,6,5,6
nomEtudiant_050,prenomEtudiant_050,PRES,51-1,2,3,9,4,5,4,5,6,5,5,6
nomEtudiant_050,prenomEtudiant_050,PRES,51-2,2,3,10,3,3,4,4,5,3,4,4
nomEtudiant_051,prenomEtudiant_051,PRES,52-1,2,4,15,3,4,5,PRC,5,2,5,6
nomEtudiant_051,prenomEtudiant_051,PRES,52-2,2,4,12,2,2,4,3,6,5,4,5
nomEtudiant_051,prenomEtudiant_051,PRES,52-3,2,4,13,5,5,6,6,6,5,4,6
nomEtudiant_052,prenomEtudiant_052,PRES,53-1,3,5,18,3,6,5,5,3,4,6,6
nomEtudiant_052,prenomEtudiant_052,PRES,53-2,3,5,17,2,5,5,2,4,3,6,4
nomEtudiant_052,prenomEtudiant_052,PRES,53-3,3,5,19,6,6,5,6,6,4,6,2
nomEtudiant_053,prenomEtudiant_053,PRES,54-1,3,5,18,5,5,1,2,1,5,5,6
nomEtudiant_053,prenomEtudiant_053,PRES,54-2,3,5,17,3,3,4,2,5,4,4,6
nomEtudiant_053,prenomEtudiant_053,PRES,54-3,3,5,19,6,5,5,NR,6,4,6,5
nomEtudiant_054,prenomEtudiant_054,PRES,55-1,3,5,16,5,3,4,1,3,4,6,5
nomEtudiant_054,prenomEtudiant_054,PRES,55-2,3,5,19,6,5,6,4,5,5,6,5
nomEtudiant_054,prenomEtudiant_054,PRES,55-3,3,5,17,2,3,4,3,3,2,2,5
nomEtudiant_055,prenomEtudiant_055,PRES,56-1,3,5,18,5,6,4,3,5,3,4,6
nomEtudiant_055,prenomEtudiant_055,PRES,56-2,3,5,16,5,5,4,3,5,4,4,5
nomEtudiant_055,prenomEtudiant_055,PRES,56-3,3,5,17,4,5,3,3,5,2,3,5
nomEtudiant_056,prenomEtudiant_056,PRES,57-1,2,3,10,3,4,3,4,5,2,4,4
nomEtudiant_056,prenomEtudiant_056,PRES,57-2,2,3,11,4,4,3,4,4,4,4,5
nomEtudiant_057,prenomEtudiant_057,PRES,58-1,3,5,18,5,6,6,5,6,4,4,6
nomEtudiant_057,prenomEtudiant_057,PRES,58-2,3,5,17,3,4,5,4,6,5,3,6
nomEtudiant_057,prenomEtudiant_057,PRES,58-3,3,5,19,5,6,6,5,5,4,6,4
nomEtudiant_058,prenomEtudiant_058,PRES,59-1,2,3,9,5,6,5,4,6,4,5,5
nomEtudiant_058,prenomEtudiant_058,PRES,59-2,2,3,11,4,4,5,5,5,5,3,4
nomEtudiant_059,prenomEtudiant_059,PRES,60-1,3,5,18,3,4,5,5,4,4,3,2
nomEtudiant_059,prenomEtudiant_059,PRES,60-2,3,5,19,1,4,6,4,5,2,6,4
nomEtudiant_059,prenomEtudiant_059,PRES,60-3,3,5,16,4,3,5,2,5,3,5,5
nomEtudiant_060,prenomEtudiant_060,PRES,61-1,2,4,14,5,4,5,5,5,3,3,6
nomEtudiant_060,prenomEtudiant_060,PRES,61-2,2,4,15,5,5,6,5,6,3,3,6
nomEtudiant_060,prenomEtudiant_060,PRES,61-3,2,4,13,5,5,6,5,6,5,4,6
nomEtudiant_061,prenomEtudiant_061,PRES,62-1,3,5,18,4,4,3,3,3,2,3,2
nomEtudiant_061,prenomEtudiant_061,PRES,62-2,3,5,16,3,2,4,3,3,4,4,3
nomEtudiant_061,prenomEtudiant_061,PRES,62-3,3,5,19,5,5,4,5,4,5,4,4
nomEtudiant_062,prenomEtudiant_062,PRES,63-1,3,5,19,4,4,4,5,4,4,3,3
nomEtudiant_062,prenomEtudiant_062,PRES,63-2,3,5,16,5,5,4,3,3,2,4,3
nomEtudiant_062,prenomEtudiant_062,PRES,63-3,3,5,17,4,3,4,4,5,4,3,5
nomEtudiant_063,prenomEtudiant_063,PRES,64-1,3,5,18,5,5,4,5,6,3,6,6
nomEtudiant_063,prenomEtudiant_063,PRES,64-2,3,5,16,5,6,5,3,6,4,5,6
nomEtudiant_063,prenomEtudiant_063,PRES,64-3,3,5,17,4,NR,3,3,6,3,5,6
nomEtudiant_064,prenomEtudiant_064,PRES,65-1,2,3,10,5,5,4,5,6,3,5,6
nomEtudiant_064,prenomEtudiant_064,PRES,65-2,2,3,11,3,4,4,4,6,4,2,5
nomEtudiant_065,prenomEtudiant_065,PRES,66-1,3,5,18,6,4,4,4,3,3,4,3
nomEtudiant_065,prenomEtudiant_065,PRES,66-2,3,5,16,4,3,4,4,3,3,4,3
nomEtudiant_065,prenomEtudiant_065,PRES,66-3,3,5,19,4,4,5,6,4,6,3,2
